Mediterranean Ave.,true,1,60,2,Purple,10,30,90,160,250,30,50,50,108,69,46
Baltic Ave.,true,3,60,4,Purple,20,60,180,320,450,30,50,50,108,69,46
Oriental Ave.,true,6,100,6,Light-Blue,30,90,270,400,550,50,50,50,100,177,233
Vermont Ave.,true,8,100,6,Light-Blue,30,90,270,400,550,50,50,50,100,177,233
Connecticut Ave.,true,9,120,8,Light-Blue,40,100,300,450,600,60,50,50,100,177,233
St. Charles Place,true,11,140,10,Violet,50,150,450,625,750,70,100,100,152,33,113
States Ave.,true,13,140,10,Violet,50,150,450,625,750,70,100,100,152,33,113
Virginia Ave.,true,14,160,12,Violet,60,180,500,700,900,80,100,100,152,33,113
St. James Place,true,16,180,14,Orange,70,200,550,750,950,90,100,100,224,110,26
Tennessee Ave.,true,18,180,14,Orange,70,200,550,750,950,90,100,100,224,110,26
New York Ave.,true,19,200,16,Orange,80,220,600,800,1000,100,100,100,224,110,26
Kentucky Ave.,true,21,220,18,Red,90,250,700,875,1050,110,150,150,182,15,29
Indiana Ave.,true,23,220,18,Red,90,250,700,875,1050,110,150,150,182,15,29
Illinois Ave.,true,24,240,20,Red,100,300,750,925,1100,120,150,150,182,15,29
Atlantic Ave.,true,26,260,22,Yellow,110,330,800,975,1150,130,150,150,216,191,0
Ventnor Ave.,true,27,260,22,Yellow,110,330,800,975,1150,130,150,150,216,191,0
Marvin Gardens,true,29,280,24,Yellow,120,360,850,1025,1200,140,150,150,216,191,0
Pacific Ave.,true,31,300,26,Dark-Green,130,390,900,1100,1275,150,200,200,0,170,52
North Carolina Ave.,true,32,300,26,Dark-Green,130,390,900,1100,1275,150,200,200,0,170,52
Pennsylvania Ave.,true,34,320,28,Dark-Green,150,450,1000,1200,1400,160,200,200,0,170,52
Park Place,true,37,350,35,Dark-Blue,175,500,1100,1300,1500,175,200,200,0,70,146
Boardwalk,true,39,400,50,Dark-Blue,200,600,1400,1700,2000,200,200,200,0,70,146
